Icon	Deal	Business	Location	Details	Category	Expires	Show On	Event Date	Featured	ID	Source	Contact	Notes
🍔	$1 Dollaritas	Applebee's		National promo — verify with the Manhattan location before listing	food					applebee-s-1-dollaritas	scraped		https://www.eatdrinkdeals.com/applebees-coupons-specials-2/
🥪	Sandwich BOGO	Arby's		National promo — verify with the Manhattan location before listing	food					arby-s-sandwich-bogo	scraped		https://www.eatdrinkdeals.com/arbys-coupons-specials/
🍗	Wings BOGO Tues, Thurs	Buffalo Wild Wings		National promo — verify with the Manhattan location before listing	food					buffalo-wild-wings-wings-bogo-tues-thurs	scraped		https://www.eatdrinkdeals.com/buffalo-wild-wings-specials-coupons/
🍔	$8.99 Whopper Meal	Burger King		National promo — verify with the Manhattan location before listing	food					burger-king-8-99-whopper-meal	scraped		https://www.eatdrinkdeals.com/burger-king-coupons/
🥤	Peach Milkshake	Chick-fil-A		National promo — verify with the Manhattan location before listing	food					chick-fil-a-peach-milkshake	scraped		https://www.eatdrinkdeals.com/chick-fil-a-menu-specials/
🌮	$1 Million In Free Burritos For The World Cup Final	Chipotle		National promo — verify with the Manhattan location before listing	food					chipotle-1-million-in-free	scraped		https://www.eatdrinkdeals.com/chipotle-specials-coupons/
🍔	$5 Off $10	Cold Stone Creamery		National promo — verify with the Manhattan location before listing	food					cold-stone-creamery-5-off-10	scraped		https://www.eatdrinkdeals.com/cold-stone-creamery-specials-deals/
🍔	Free Dilly Bar, 2 for $5	Dairy Queen		National promo — verify with the Manhattan location before listing	food					dairy-queen-free-dilly-bar-2	scraped		https://www.eatdrinkdeals.com/dairy-queen-coupons-specials/
🍔	$9.99 "Best Deal Ever"	Domino's		National promo — verify with the Manhattan location before listing	food					domino-s-9-99-best-deal	scraped		https://www.eatdrinkdeals.com/dominos-pizza-coupons-specials-2/
🍔	$6 Value Menu, 20% Off	IHOP		National promo — verify with the Manhattan location before listing	food					ihop-6-value-menu-20	scraped		https://www.eatdrinkdeals.com/ihop-menu-specials-coupons/
🍔	Free Lemonade Today	Jimmy John's		National promo — verify with the Manhattan location before listing	food					jimmy-john-s-free-lemonade-today	scraped		https://www.eatdrinkdeals.com/jimmy-johns-sub-coupons-specials/
🍔	$3 Off	Little Caesars		National promo — verify with the Manhattan location before listing	food					little-caesars-3-off	scraped		https://www.eatdrinkdeals.com/little-caesars-pizza-coupons-deals/
🍔	40% Off QP	McDonald's		National promo — verify with the Manhattan location before listing	food					mcdonald-s-40-off-qp	scraped		https://www.eatdrinkdeals.com/mcdonalds-coupons-mcdonalds-specials/
🍝	Never Ending Pasta Pass On Sale July 16	Olive Garden		National promo — verify with the Manhattan location before listing	food					olive-garden-never-ending-pasta-pass	scraped		https://www.eatdrinkdeals.com/og-coupons-specials/
🍔	$10 Deal, Wok Wednesday	Panda Express		National promo — verify with the Manhattan location before listing	food					panda-express-10-deal-wok-wednesday	scraped		https://www.eatdrinkdeals.com/panda-express-specials-deals/
🍔	BOGO $5 Entrees, $1 Soup	Panera		National promo — verify with the Manhattan location before listing	food					panera-bogo-5-entrees-1	scraped		https://www.eatdrinkdeals.com/panera-bread-coupons-promo-codes/
🍕	$8.99 Summer Pizzas	Papa Murphy's		National promo — verify with the Manhattan location before listing	food					papa-murphy-s-8-99-summer-pizzas	scraped		https://www.eatdrinkdeals.com/papa-murphys-pizza-coupon/
🍕	Throwback Menu Has $10 Stuffed Crust	Pizza Hut		National promo — verify with the Manhattan location before listing	food					pizza-hut-throwback-menu-has-10	scraped		https://www.eatdrinkdeals.com/pizza-hut-specials-deals/
🍔	Free Entrée for National Avocado Day	Qdoba		National promo — verify with the Manhattan location before listing	food					qdoba-free-entr-e-for	scraped		https://www.eatdrinkdeals.com/qdoba-mexican-eats-specials-deals/
🍔	America's BOGO Entrees, $7 Big Deal Meal	Sonic		National promo — verify with the Manhattan location before listing	food					sonic-america-s-bogo-entrees	scraped		https://www.eatdrinkdeals.com/sonic-specials-sonic-coupons/
🍔	Free Mod Mondays, Summer Menu	Starbucks		National promo — verify with the Manhattan location before listing	food					starbucks-free-mod-mondays-summer	scraped		https://www.eatdrinkdeals.com/starbucks-happy-hour/
🥪	$6.99 Footlong	Subway		National promo — verify with the Manhattan location before listing	food					subway-6-99-footlong	scraped		https://www.eatdrinkdeals.com/subway-coupons-promo-codes/
🌮	Tuesday Drops, Nacho Fries Now Permanent	Taco Bell		National promo — verify with the Manhattan location before listing	food					taco-bell-tuesday-drops-nacho-fries	scraped		https://www.eatdrinkdeals.com/taco-bell-coupons-freebies/
🍔	Free Frosty, $2 Off Combo	Wendy's		National promo — verify with the Manhattan location before listing	food					wendy-s-free-frosty-2-off	scraped		https://www.eatdrinkdeals.com/wendys-coupons-wendys-specials-2/
🍗	$16.99 Boneless Meal Deal, $0.70 Wings	Wingstop		National promo — verify with the Manhattan location before listing	food					wingstop-16-99-boneless-meal	scraped		https://www.eatdrinkdeals.com/wingstop-coupons-specials/
