Icon	Deal	Business	Location	Details	Category	Expires	Show On	Event Date	Featured	ID	Source	Contact	Notes
💪	Community Workout!	785 Athletics	511 Richards Dr. Manhattan KS	Recurring weekly on Saturday · Free!	event		Saturday			785-athletics-community-workout	scraped		https://www.visitmanhattanks.org/event/community-workout!/4848/
🎉	Audubon Society Monthly Bird Walk	Anneberg Park Perimeter Trail	3801 Anderson Ave. Manhattan KS	Recurring monthly on the last Sunday · Free	event					anneberg-park-perimeter-audubon-society-monthly-bird	scraped		https://www.visitmanhattanks.org/event/audubon-society-monthly-bird-walk/5193/
🎉	Open Hood Sunday	Midwest Dream Car Collection	3007 Anderson Ave Manhattan KS	Recurring monthly on the last Sunday · Regular museum admission	event					midwest-dream-car-open-hood-sunday	scraped		https://www.visitmanhattanks.org/event/open-hood-sunday/5494/
🎉	Finn's Industry Discount Mondays	Finn's Neighborhood Pub	317 Poyntz Ave. Manhattan KS	Recurring weekly on Monday	event		Monday			finn-s-neighborhood-finn-s-industry-discount	scraped		https://www.visitmanhattanks.org/event/finns-industry-discount-mondays/4500/
🎉	Library Card Holders Eat Free Night	IHOP	101 Goodfood Pl Manhattan KS	Recurring weekly on Monday	event		Monday			ihop-library-card-holders-eat	scraped		https://www.visitmanhattanks.org/event/library-card-holders-eat-free-night/5433/
🎉	Preschoolers in the Flint Hills	Flint Hills Discovery Center	315 S 3rd Manhattan KS	Recurring weekly on Tuesday	event		Tuesday			flint-hills-discovery-preschoolers-in-the-flint	scraped		https://www.visitmanhattanks.org/event/preschoolers-in-the-flint-hills/3967/
🎉	Adult Coloring Night @ MBC	Manhattan Brewing Company	406 Poyntz Ave. Manhattan KS	Recurring weekly on Tuesday	event		Tuesday			manhattan-brewing-company-adult-coloring-night-mbc	scraped		https://www.visitmanhattanks.org/event/adult-coloring-night-%40-mbc/4331/
🎵	Music Bingo at Finn's Pub	Finn's Neighborhood Pub	317 Poyntz Ave. Manhattan KS	Recurring every 2 weeks on Tuesday	event					finn-s-neighborhood-music-bingo-at-finn	scraped		https://www.visitmanhattanks.org/event/music-bingo-at-finns-pub/4483/
🧸	Storytime at IHOP	IHOP	101 Goodfood Pl Manhattan KS	Recurring weekly on Tuesday	event		Tuesday			ihop-storytime-at-ihop	scraped		https://www.visitmanhattanks.org/event/storytime-at-ihop/5432/
🎉	Homeschool P.E.	785 Athletics	511 Richards Dr. Manhattan KS	Recurring weekly on Tuesday, Thursday · $5	event		Tuesday, Thursday			785-athletics-homeschool-p-e	scraped		https://www.visitmanhattanks.org/event/homeschool-p-e/4849/
